,OrderDate,ProductID,PromotionCode,DiscountAmount,Quantity,UnitPrice,ProductSKU,ProductName,ProductCategory,ItemGroup,KitType,Channels,Demographic,RetailPrice,Month,Year,Day,Season
0,2017-01-01,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,1,winter
1,2017-01-02,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,2,winter
2,2017-01-06,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,6,winter
3,2017-01-08,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,8,winter
4,2017-01-09,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,9,winter
5,2017-01-09,3,SALE2016-01,7.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,9,winter
6,2017-01-11,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,11,winter
7,2017-01-11,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,11,winter
8,2017-01-12,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,12,winter
9,2017-01-15,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,15,winter
10,2017-01-16,13,NoPromo,0.0,2,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,16,winter
11,2017-01-17,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,17,winter
12,2017-01-18,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,18,winter
13,2017-01-18,13,NoPromo,0.0,2,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,18,winter
14,2017-01-19,3,NoPromo,0.0,4,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,19,winter
15,2017-01-19,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,19,winter
16,2017-01-20,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,20,winter
17,2017-01-20,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,20,winter
18,2017-01-21,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,21,winter
19,2017-01-22,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,22,winter
20,2017-01-23,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,23,winter
21,2017-01-26,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,26,winter
22,2017-01-27,13,NoPromo,0.0,1,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,27,winter
23,2017-01-28,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,28,winter
24,2017-01-28,13,NoPromo,0.0,2,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,1,2017,28,winter
25,2017-01-29,3,NoPromo,0.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,29,winter
26,2017-01-31,3,SALE2016-01,7.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,1,2017,31,winter
27,2017-02-01,2,NoPromo,0.0,3,178.94999999999996,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,1,winter
28,2017-02-01,3,NoPromo,0.0,11,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,1,winter
29,2017-02-01,5,SALE2016-02,4.0,1,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,1,winter
30,2017-02-01,6,NoPromo,0.0,7,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,1,winter
31,2017-02-01,6,SALE2016-02,18.15,2,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,1,winter
32,2017-02-01,9,NoPromo,0.0,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,1,winter
33,2017-02-01,9,SALE2016-02,5.6,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,1,winter
34,2017-02-01,10,NoPromo,0.0,5,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,1,winter
35,2017-02-01,11,NoPromo,0.0,4,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,1,winter
36,2017-02-01,12,NoPromo,0.0,7,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,1,winter
37,2017-02-01,18,NoPromo,0.0,1,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,1,winter
38,2017-02-02,2,NoPromo,0.0,1,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,2,winter
39,2017-02-02,2,SALE2016-02,7.2,1,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,2,winter
40,2017-02-02,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,2,winter
41,2017-02-02,6,NoPromo,0.0,1,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,2,winter
42,2017-02-02,8,NoPromo,0.0,2,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,2,winter
43,2017-02-02,9,NoPromo,0.0,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,2,winter
